func_type,substrate,focal_strain,solution,species,metabolite,flux
facilitation,acgam,E3R18,15,A3R16,gthrd,-1
facilitation,acgam,E3R18,15,E3R18,gthrd,1
facilitation,acgam,E3R18,15,A3R16,h2o2,-1
facilitation,acgam,E3R18,15,E3R18,h2o2,1
facilitation,acgam,E3R18,15,A3R16,h2s,1
facilitation,acgam,E3R18,15,E3R18,h2s,-1
facilitation,acgam,E3R18,15,A3R16,pro__L,1
facilitation,acgam,E3R18,15,E3R18,pro__L,-1
facilitation,acgam,E3R18,15,A3R16,pyr,1
facilitation,acgam,E3R18,15,E3R18,pyr,-1
facilitation,acgam,E3R18,15,A3R16,ser__D,1
facilitation,acgam,E3R18,15,E3R18,ser__D,-1
facilitation,acgam,E3R18,16,D2R05,ac,1
facilitation,acgam,E3R18,16,E3R18,ac,-1
facilitation,acgam,E3R18,16,D2R05,acald,-1
facilitation,acgam,E3R18,16,E3R18,acald,1
facilitation,acgam,E3R18,16,D2R05,acgam,-1
facilitation,acgam,E3R18,16,D2R05,ala__D,-1
facilitation,acgam,E3R18,16,E3R18,ala__D,1
facilitation,acgam,E3R18,16,D2R05,ala__L,1
facilitation,acgam,E3R18,16,E3R18,ala__L,-1
facilitation,acgam,E3R18,16,D2R05,asp__L,1
facilitation,acgam,E3R18,16,E3R18,asp__L,-1
facilitation,acgam,E3R18,16,D2R05,co2,1
facilitation,acgam,E3R18,16,E3R18,co2,-1
facilitation,acgam,E3R18,16,D2R05,etoh,1
facilitation,acgam,E3R18,16,E3R18,etoh,-1
facilitation,acgam,E3R18,16,D2R05,glu__L,1
facilitation,acgam,E3R18,16,E3R18,glu__L,-1
facilitation,acgam,E3R18,16,D2R05,gly,-1
facilitation,acgam,E3R18,16,E3R18,gly,1
facilitation,acgam,E3R18,16,D2R05,gthox,1
facilitation,acgam,E3R18,16,E3R18,gthox,-1
facilitation,acgam,E3R18,16,D2R05,gthrd,-1
facilitation,acgam,E3R18,16,E3R18,gthrd,1
facilitation,acgam,E3R18,16,D2R05,h2o2,-1
facilitation,acgam,E3R18,16,E3R18,h2o2,1
facilitation,acgam,E3R18,16,D2R05,h2s,1
facilitation,acgam,E3R18,16,E3R18,h2s,-1
facilitation,acgam,E3R18,16,D2R05,pro__L,1
facilitation,acgam,E3R18,16,E3R18,pro__L,-1
facilitation,acgam,E3R18,16,D2R05,pyr,-1
facilitation,acgam,E3R18,16,E3R18,pyr,1
facilitation,acgam,E3R18,16,D2R05,ser__D,1
facilitation,acgam,E3R18,16,E3R18,ser__D,-1
facilitation,acgam,E3R18,16,D2R05,thr__L,1
facilitation,acgam,E3R18,16,E3R18,thr__L,-1
facilitation,acgam,E3R18,17,E3R18,ac,1
facilitation,acgam,E3R18,17,G3M19,ac,-1
facilitation,acgam,E3R18,17,B2M06,acald,-1
facilitation,acgam,E3R18,17,E3R18,acald,1
facilitation,acgam,E3R18,17,G3M19,acald,1
facilitation,acgam,E3R18,17,G3M19,acgam,-1
facilitation,acgam,E3R18,17,B2M06,ade,-1
facilitation,acgam,E3R18,17,G3M19,ade,1
facilitation,acgam,E3R18,17,B2M06,ala__D,-1
facilitation,acgam,E3R18,17,E3R18,ala__D,1
facilitation,acgam,E3R18,17,B2M06,ala__L,1
facilitation,acgam,E3R18,17,E3R18,ala__L,-1
facilitation,acgam,E3R18,17,G3M19,ala__L,-1
facilitation,acgam,E3R18,17,B2M06,arg__L,-1
facilitation,acgam,E3R18,17,G3M19,arg__L,1
facilitation,acgam,E3R18,17,B2M06,asp__L,-1
facilitation,acgam,E3R18,17,E3R18,asp__L,1
facilitation,acgam,E3R18,17,B2M06,co2,1
facilitation,acgam,E3R18,17,E3R18,co2,-1
facilitation,acgam,E3R18,17,G3M19,co2,1
facilitation,acgam,E3R18,17,B2M06,etoh,1
facilitation,acgam,E3R18,17,E3R18,etoh,-1
facilitation,acgam,E3R18,17,G3M19,etoh,-1
facilitation,acgam,E3R18,17,B2M06,glcur,-1
facilitation,acgam,E3R18,17,G3M19,glcur,1
facilitation,acgam,E3R18,17,B2M06,glu__L,1
facilitation,acgam,E3R18,17,E3R18,glu__L,-1
facilitation,acgam,E3R18,17,B2M06,gly,-1
facilitation,acgam,E3R18,17,E3R18,gly,1
facilitation,acgam,E3R18,17,B2M06,glyclt,1
facilitation,acgam,E3R18,17,E3R18,glyclt,-1
facilitation,acgam,E3R18,17,B2M06,gua,-1
facilitation,acgam,E3R18,17,G3M19,gua,1
facilitation,acgam,E3R18,17,B2M06,h2s,-1
facilitation,acgam,E3R18,17,E3R18,h2s,-1
facilitation,acgam,E3R18,17,G3M19,h2s,1
facilitation,acgam,E3R18,17,B2M06,his__L,-1
facilitation,acgam,E3R18,17,E3R18,his__L,1
facilitation,acgam,E3R18,17,B2M06,lys__L,-1
facilitation,acgam,E3R18,17,G3M19,lys__L,1
facilitation,acgam,E3R18,17,B2M06,pro__L,1
facilitation,acgam,E3R18,17,E3R18,pro__L,-1
facilitation,acgam,E3R18,17,E3R18,pyr,1
facilitation,acgam,E3R18,17,G3M19,pyr,-1
facilitation,acgam,E3R18,17,B2M06,rib__D,-1
facilitation,acgam,E3R18,17,E3R18,rib__D,-1
facilitation,acgam,E3R18,17,G3M19,rib__D,1
facilitation,acgam,E3R18,17,B2M06,ser__D,1
facilitation,acgam,E3R18,17,E3R18,ser__D,-1
facilitation,acgam,E3R18,17,B2M06,val__L,-1
facilitation,acgam,E3R18,17,G3M19,val__L,1
facilitation,acgam,E3R18,18,E3R18,ac,-1
facilitation,acgam,E3R18,18,F3R08,ac,1
facilitation,acgam,E3R18,18,G3M19,ac,-1
facilitation,acgam,E3R18,18,F3R08,acald,-1
facilitation,acgam,E3R18,18,G3M19,acald,1
facilitation,acgam,E3R18,18,F3R08,acgam,-1
facilitation,acgam,E3R18,18,G3M19,acgam,-1
facilitation,acgam,E3R18,18,E3R18,ala__L,1
facilitation,acgam,E3R18,18,G3M19,ala__L,-1
facilitation,acgam,E3R18,18,E3R18,arg__L,-1
facilitation,acgam,E3R18,18,G3M19,arg__L,1
facilitation,acgam,E3R18,18,E3R18,asp__L,-1
facilitation,acgam,E3R18,18,F3R08,asp__L,1
facilitation,acgam,E3R18,18,E3R18,co2,1
facilitation,acgam,E3R18,18,F3R08,co2,-1
facilitation,acgam,E3R18,18,G3M19,co2,-1
facilitation,acgam,E3R18,18,E3R18,etoh,-1
facilitation,acgam,E3R18,18,F3R08,etoh,1
facilitation,acgam,E3R18,18,G3M19,etoh,-1
facilitation,acgam,E3R18,18,E3R18,glu__L,1
facilitation,acgam,E3R18,18,F3R08,glu__L,-1
facilitation,acgam,E3R18,18,E3R18,gly,1
facilitation,acgam,E3R18,18,F3R08,gly,-1
facilitation,acgam,E3R18,18,E3R18,gthox,1
facilitation,acgam,E3R18,18,F3R08,gthox,-1
facilitation,acgam,E3R18,18,E3R18,gthrd,-1
facilitation,acgam,E3R18,18,F3R08,gthrd,1
facilitation,acgam,E3R18,18,E3R18,h2o2,-1
facilitation,acgam,E3R18,18,F3R08,h2o2,1
facilitation,acgam,E3R18,18,E3R18,h2s,-1
facilitation,acgam,E3R18,18,F3R08,h2s,1
facilitation,acgam,E3R18,18,G3M19,h2s,-1
facilitation,acgam,E3R18,18,E3R18,id3acald,-1
facilitation,acgam,E3R18,18,F3R08,id3acald,1
facilitation,acgam,E3R18,18,E3R18,ile__L,-1
facilitation,acgam,E3R18,18,F3R08,ile__L,1
facilitation,acgam,E3R18,18,G3M19,ile__L,-1
facilitation,acgam,E3R18,18,F3R08,lys__L,1
facilitation,acgam,E3R18,18,G3M19,lys__L,-1
facilitation,acgam,E3R18,18,E3R18,pro__L,-1
facilitation,acgam,E3R18,18,F3R08,pro__L,1
facilitation,acgam,E3R18,18,G3M19,pro__L,-1
facilitation,acgam,E3R18,18,E3R18,pyr,-1
facilitation,acgam,E3R18,18,F3R08,pyr,-1
facilitation,acgam,E3R18,18,G3M19,pyr,1
facilitation,acgam,E3R18,18,F3R08,rib__D,-1
facilitation,acgam,E3R18,18,G3M19,rib__D,1
facilitation,acgam,E3R18,18,E3R18,val__L,-1
facilitation,acgam,E3R18,18,F3R08,val__L,1
facilitation,acgam,E3R18,18,G3M19,val__L,-1
facilitation,acgam,E3R18,19,E3R18,ac,1
facilitation,acgam,E3R18,19,G3M19,ac,-1
facilitation,acgam,E3R18,19,E3R01,acald,-1
facilitation,acgam,E3R18,19,E3R18,acald,1
facilitation,acgam,E3R18,19,G3M19,acald,1
facilitation,acgam,E3R18,19,G3M19,acgam,-1
facilitation,acgam,E3R18,19,E3R01,ala__D,1
facilitation,acgam,E3R18,19,E3R18,ala__D,-1
facilitation,acgam,E3R18,19,E3R01,ala__L,-1
facilitation,acgam,E3R18,19,E3R18,ala__L,1
facilitation,acgam,E3R18,19,E3R18,arg__L,-1
facilitation,acgam,E3R18,19,G3M19,arg__L,1
facilitation,acgam,E3R18,19,E3R01,asp__L,1
facilitation,acgam,E3R18,19,E3R18,asp__L,-1
facilitation,acgam,E3R18,19,G3M19,asp__L,-1
facilitation,acgam,E3R18,19,E3R01,co2,-1
facilitation,acgam,E3R18,19,E3R18,co2,1
facilitation,acgam,E3R18,19,G3M19,co2,1
facilitation,acgam,E3R18,19,E3R18,etoh,-1
facilitation,acgam,E3R18,19,G3M19,etoh,1
facilitation,acgam,E3R18,19,E3R01,glu__L,-1
facilitation,acgam,E3R18,19,E3R18,glu__L,1
facilitation,acgam,E3R18,19,E3R01,gly,-1
facilitation,acgam,E3R18,19,E3R18,gly,1
facilitation,acgam,E3R18,19,E3R01,gthox,-1
facilitation,acgam,E3R18,19,E3R18,gthox,1
facilitation,acgam,E3R18,19,E3R01,gthrd,1
facilitation,acgam,E3R18,19,E3R18,gthrd,-1
facilitation,acgam,E3R18,19,E3R01,h2o2,1
facilitation,acgam,E3R18,19,E3R18,h2o2,-1
facilitation,acgam,E3R18,19,E3R01,h2s,1
facilitation,acgam,E3R18,19,E3R18,h2s,-1
facilitation,acgam,E3R18,19,G3M19,h2s,-1
facilitation,acgam,E3R18,19,E3R01,ile__L,1
facilitation,acgam,E3R18,19,E3R18,ile__L,-1
facilitation,acgam,E3R18,19,G3M19,ile__L,-1
facilitation,acgam,E3R18,19,E3R01,lys__L,1
facilitation,acgam,E3R18,19,E3R18,lys__L,-1
facilitation,acgam,E3R18,19,G3M19,lys__L,-1
facilitation,acgam,E3R18,19,E3R01,pro__L,1
facilitation,acgam,E3R18,19,E3R18,pro__L,-1
facilitation,acgam,E3R18,19,G3M19,pro__L,-1
facilitation,acgam,E3R18,19,E3R18,pyr,-1
facilitation,acgam,E3R18,19,G3M19,pyr,1
facilitation,acgam,E3R18,19,E3R01,ser__D,1
facilitation,acgam,E3R18,19,E3R18,ser__D,-1
facilitation,acgam,E3R18,19,E3R01,val__L,1
facilitation,acgam,E3R18,19,E3R18,val__L,-1
facilitation,acgam,E3R18,19,G3M19,val__L,-1
facilitation,acgam,E3R18,2,E3R18,ac,-1
facilitation,acgam,E3R18,2,m_3C02,ac,1
facilitation,acgam,E3R18,2,E3R18,acald,1
facilitation,acgam,E3R18,2,m_3C02,acald,-1
facilitation,acgam,E3R18,2,m_3C02,acgam,-1
facilitation,acgam,E3R18,2,E3R18,ala__D,1
facilitation,acgam,E3R18,2,m_3C02,ala__D,-1
facilitation,acgam,E3R18,2,E3R18,ala__L,-1
facilitation,acgam,E3R18,2,m_3C02,ala__L,1
facilitation,acgam,E3R18,2,E3R18,arg__L,-1
facilitation,acgam,E3R18,2,m_3C02,arg__L,1
facilitation,acgam,E3R18,2,E3R18,asp__L,-1
facilitation,acgam,E3R18,2,m_3C02,asp__L,1
facilitation,acgam,E3R18,2,E3R18,co2,-1
facilitation,acgam,E3R18,2,m_3C02,co2,1
facilitation,acgam,E3R18,2,E3R18,etoh,-1
facilitation,acgam,E3R18,2,m_3C02,etoh,1
facilitation,acgam,E3R18,2,E3R18,glu__L,-1
facilitation,acgam,E3R18,2,m_3C02,glu__L,1
facilitation,acgam,E3R18,2,E3R18,gly,1
facilitation,acgam,E3R18,2,m_3C02,gly,-1
facilitation,acgam,E3R18,2,E3R18,h2s,-1
facilitation,acgam,E3R18,2,m_3C02,h2s,1
facilitation,acgam,E3R18,2,E3R18,pro__L,-1
facilitation,acgam,E3R18,2,m_3C02,pro__L,1
facilitation,acgam,E3R18,2,E3R18,pyr,-1
facilitation,acgam,E3R18,2,m_3C02,pyr,1
facilitation,acgam,E3R18,2,E3R18,ser__D,-1
facilitation,acgam,E3R18,2,m_3C02,ser__D,1
facilitation,acgam,E3R18,2,E3R18,thr__L,-1
facilitation,acgam,E3R18,2,m_3C02,thr__L,1
facilitation,acgam,E3R18,20,C1R06,ac,1
facilitation,acgam,E3R18,20,E3R18,ac,-1
facilitation,acgam,E3R18,20,G3M19,ac,-1
facilitation,acgam,E3R18,20,C1R06,acald,-1
facilitation,acgam,E3R18,20,E3R18,acald,1
facilitation,acgam,E3R18,20,G3M19,acald,1
facilitation,acgam,E3R18,20,C1R06,acgam,-1
facilitation,acgam,E3R18,20,G3M19,acgam,-1
facilitation,acgam,E3R18,20,C1R06,ala__D,-1
facilitation,acgam,E3R18,20,E3R18,ala__D,1
facilitation,acgam,E3R18,20,C1R06,ala__L,1
facilitation,acgam,E3R18,20,E3R18,ala__L,-1
facilitation,acgam,E3R18,20,C1R06,arg__L,1
facilitation,acgam,E3R18,20,E3R18,arg__L,-1
facilitation,acgam,E3R18,20,G3M19,arg__L,-1
facilitation,acgam,E3R18,20,C1R06,asp__L,-1
facilitation,acgam,E3R18,20,E3R18,asp__L,1
facilitation,acgam,E3R18,20,C1R06,co2,1
facilitation,acgam,E3R18,20,E3R18,co2,-1
facilitation,acgam,E3R18,20,G3M19,co2,1
facilitation,acgam,E3R18,20,C1R06,etoh,-1
facilitation,acgam,E3R18,20,E3R18,etoh,1
facilitation,acgam,E3R18,20,G3M19,etoh,-1
facilitation,acgam,E3R18,20,C1R06,glu__L,-1
facilitation,acgam,E3R18,20,E3R18,glu__L,1
facilitation,acgam,E3R18,20,C1R06,gly,-1
facilitation,acgam,E3R18,20,E3R18,gly,1
facilitation,acgam,E3R18,20,C1R06,h2s,1
facilitation,acgam,E3R18,20,E3R18,h2s,-1
facilitation,acgam,E3R18,20,G3M19,h2s,-1
facilitation,acgam,E3R18,20,C1R06,ile__L,1
facilitation,acgam,E3R18,20,E3R18,ile__L,-1
facilitation,acgam,E3R18,20,G3M19,ile__L,-1
facilitation,acgam,E3R18,20,C1R06,leu__L,1
facilitation,acgam,E3R18,20,E3R18,leu__L,-1
facilitation,acgam,E3R18,20,C1R06,lys__L,1
facilitation,acgam,E3R18,20,E3R18,lys__L,-1
facilitation,acgam,E3R18,20,G3M19,lys__L,-1
facilitation,acgam,E3R18,20,C1R06,orn,1
facilitation,acgam,E3R18,20,E3R18,orn,-1
facilitation,acgam,E3R18,20,G3M19,orn,-1
facilitation,acgam,E3R18,20,C1R06,pro__L,1
facilitation,acgam,E3R18,20,E3R18,pro__L,-1
facilitation,acgam,E3R18,20,C1R06,pyr,-1
facilitation,acgam,E3R18,20,E3R18,pyr,1
facilitation,acgam,E3R18,20,G3M19,pyr,1
facilitation,acgam,E3R18,20,C1R06,ser__D,1
facilitation,acgam,E3R18,20,E3R18,ser__D,-1
facilitation,acgam,E3R18,20,C1R06,val__L,1
facilitation,acgam,E3R18,20,E3R18,val__L,-1
facilitation,acgam,E3R18,20,G3M19,val__L,-1
facilitation,acgam,E3R18,21,B3R10,ac,1
facilitation,acgam,E3R18,21,E3R18,ac,-1
facilitation,acgam,E3R18,21,G3M19,ac,1
facilitation,acgam,E3R18,21,B3R10,acald,-1
facilitation,acgam,E3R18,21,E3R18,acald,1
facilitation,acgam,E3R18,21,G3M19,acald,-1
facilitation,acgam,E3R18,21,B3R10,acgam,-1
facilitation,acgam,E3R18,21,G3M19,acgam,-1
facilitation,acgam,E3R18,21,B3R10,ala__D,-1
facilitation,acgam,E3R18,21,E3R18,ala__D,1
facilitation,acgam,E3R18,21,B3R10,ala__L,1
facilitation,acgam,E3R18,21,E3R18,ala__L,-1
facilitation,acgam,E3R18,21,G3M19,ala__L,-1
facilitation,acgam,E3R18,21,B3R10,arg__L,-1
facilitation,acgam,E3R18,21,G3M19,arg__L,1
facilitation,acgam,E3R18,21,B3R10,asp__L,-1
facilitation,acgam,E3R18,21,E3R18,asp__L,1
facilitation,acgam,E3R18,21,G3M19,asp__L,-1
facilitation,acgam,E3R18,21,B3R10,co2,1
facilitation,acgam,E3R18,21,E3R18,co2,-1
facilitation,acgam,E3R18,21,G3M19,co2,1
facilitation,acgam,E3R18,21,B3R10,etoh,1
facilitation,acgam,E3R18,21,E3R18,etoh,-1
facilitation,acgam,E3R18,21,G3M19,etoh,1
facilitation,acgam,E3R18,21,B3R10,glu__L,-1
facilitation,acgam,E3R18,21,E3R18,glu__L,1
facilitation,acgam,E3R18,21,G3M19,glu__L,-1
facilitation,acgam,E3R18,21,B3R10,gly,-1
facilitation,acgam,E3R18,21,E3R18,gly,1
facilitation,acgam,E3R18,21,B3R10,gthox,1
facilitation,acgam,E3R18,21,E3R18,gthox,-1
facilitation,acgam,E3R18,21,B3R10,gthrd,-1
facilitation,acgam,E3R18,21,E3R18,gthrd,1
facilitation,acgam,E3R18,21,B3R10,h2o2,-1
facilitation,acgam,E3R18,21,E3R18,h2o2,1
facilitation,acgam,E3R18,21,B3R10,h2s,1
facilitation,acgam,E3R18,21,E3R18,h2s,-1
facilitation,acgam,E3R18,21,G3M19,h2s,-1
facilitation,acgam,E3R18,21,E3R18,his__L,1
facilitation,acgam,E3R18,21,G3M19,his__L,-1
facilitation,acgam,E3R18,21,B3R10,lys__L,1
facilitation,acgam,E3R18,21,G3M19,lys__L,-1
facilitation,acgam,E3R18,21,B3R10,pro__L,1
facilitation,acgam,E3R18,21,E3R18,pro__L,-1
facilitation,acgam,E3R18,21,G3M19,pro__L,-1
facilitation,acgam,E3R18,21,B3R10,pyr,1
facilitation,acgam,E3R18,21,E3R18,pyr,-1
facilitation,acgam,E3R18,21,G3M19,pyr,1
facilitation,acgam,E3R18,21,B3R10,ser__D,1
facilitation,acgam,E3R18,21,E3R18,ser__D,-1
facilitation,acgam,E3R18,21,E3R18,xan,1
facilitation,acgam,E3R18,21,G3M19,xan,-1
facilitation,acgam,E3R18,22,A3R04,ac,1
facilitation,acgam,E3R18,22,E3R18,ac,-1
facilitation,acgam,E3R18,22,G3M19,ac,1
facilitation,acgam,E3R18,22,A3R04,acald,-1
facilitation,acgam,E3R18,22,E3R18,acald,1
facilitation,acgam,E3R18,22,G3M19,acald,-1
facilitation,acgam,E3R18,22,A3R04,acgam,-1
facilitation,acgam,E3R18,22,G3M19,acgam,-1
facilitation,acgam,E3R18,22,A3R04,ade,-1
facilitation,acgam,E3R18,22,G3M19,ade,1
facilitation,acgam,E3R18,22,A3R04,ala__D,1
facilitation,acgam,E3R18,22,E3R18,ala__D,-1
facilitation,acgam,E3R18,22,A3R04,ala__L,-1
facilitation,acgam,E3R18,22,E3R18,ala__L,1
facilitation,acgam,E3R18,22,G3M19,ala__L,-1
facilitation,acgam,E3R18,22,A3R04,arg__L,-1
facilitation,acgam,E3R18,22,E3R18,arg__L,-1
facilitation,acgam,E3R18,22,G3M19,arg__L,1
facilitation,acgam,E3R18,22,A3R04,asp__L,1
facilitation,acgam,E3R18,22,E3R18,asp__L,-1
facilitation,acgam,E3R18,22,G3M19,asp__L,-1
facilitation,acgam,E3R18,22,A3R04,co2,1
facilitation,acgam,E3R18,22,E3R18,co2,1
facilitation,acgam,E3R18,22,G3M19,co2,1
facilitation,acgam,E3R18,22,A3R04,etoh,1
facilitation,acgam,E3R18,22,E3R18,etoh,-1
facilitation,acgam,E3R18,22,G3M19,etoh,1
facilitation,acgam,E3R18,22,A3R04,glu__L,1
facilitation,acgam,E3R18,22,E3R18,glu__L,-1
facilitation,acgam,E3R18,22,G3M19,glu__L,-1
facilitation,acgam,E3R18,22,A3R04,gly,-1
facilitation,acgam,E3R18,22,E3R18,gly,1
facilitation,acgam,E3R18,22,A3R04,h2s,-1
facilitation,acgam,E3R18,22,E3R18,h2s,-1
facilitation,acgam,E3R18,22,G3M19,h2s,1
facilitation,acgam,E3R18,22,A3R04,pro__L,1
facilitation,acgam,E3R18,22,E3R18,pro__L,-1
facilitation,acgam,E3R18,22,A3R04,pyr,-1
facilitation,acgam,E3R18,22,E3R18,pyr,-1
facilitation,acgam,E3R18,22,G3M19,pyr,1
facilitation,acgam,E3R18,23,E3R18,ac,1
facilitation,acgam,E3R18,23,G3M19,ac,-1
facilitation,acgam,E3R18,23,m_6D02,ac,1
facilitation,acgam,E3R18,23,E3R18,acald,-1
facilitation,acgam,E3R18,23,G3M19,acald,1
facilitation,acgam,E3R18,23,m_6D02,acald,-1
facilitation,acgam,E3R18,23,G3M19,acgam,-1
facilitation,acgam,E3R18,23,G3M19,ade,-1
facilitation,acgam,E3R18,23,m_6D02,ade,1
facilitation,acgam,E3R18,23,E3R18,ala__D,-1
facilitation,acgam,E3R18,23,m_6D02,ala__D,1
facilitation,acgam,E3R18,23,E3R18,ala__L,1
facilitation,acgam,E3R18,23,G3M19,ala__L,-1
facilitation,acgam,E3R18,23,m_6D02,ala__L,-1
facilitation,acgam,E3R18,23,G3M19,arg__L,1
facilitation,acgam,E3R18,23,m_6D02,arg__L,-1
facilitation,acgam,E3R18,23,E3R18,asp__L,1
facilitation,acgam,E3R18,23,G3M19,asp__L,-1
facilitation,acgam,E3R18,23,m_6D02,asp__L,-1
facilitation,acgam,E3R18,23,E3R18,co2,-1
facilitation,acgam,E3R18,23,G3M19,co2,1
facilitation,acgam,E3R18,23,m_6D02,co2,1
facilitation,acgam,E3R18,23,E3R18,etoh,1
facilitation,acgam,E3R18,23,G3M19,etoh,-1
facilitation,acgam,E3R18,23,m_6D02,etoh,-1
facilitation,acgam,E3R18,23,E3R18,glu__L,1
facilitation,acgam,E3R18,23,m_6D02,glu__L,-1
facilitation,acgam,E3R18,23,E3R18,gly,1
facilitation,acgam,E3R18,23,m_6D02,gly,-1
facilitation,acgam,E3R18,23,E3R18,gthox,1
facilitation,acgam,E3R18,23,m_6D02,gthox,-1
facilitation,acgam,E3R18,23,E3R18,gthrd,-1
facilitation,acgam,E3R18,23,m_6D02,gthrd,1
facilitation,acgam,E3R18,23,E3R18,h2o2,-1
facilitation,acgam,E3R18,23,m_6D02,h2o2,1
facilitation,acgam,E3R18,23,E3R18,h2s,-1
facilitation,acgam,E3R18,23,G3M19,h2s,1
facilitation,acgam,E3R18,23,m_6D02,h2s,-1
facilitation,acgam,E3R18,23,E3R18,his__L,1
facilitation,acgam,E3R18,23,m_6D02,his__L,-1
facilitation,acgam,E3R18,23,G3M19,lys__L,-1
facilitation,acgam,E3R18,23,m_6D02,lys__L,1
facilitation,acgam,E3R18,23,E3R18,pro__L,-1
facilitation,acgam,E3R18,23,G3M19,pro__L,-1
facilitation,acgam,E3R18,23,m_6D02,pro__L,1
facilitation,acgam,E3R18,23,E3R18,pyr,1
facilitation,acgam,E3R18,23,G3M19,pyr,1
facilitation,acgam,E3R18,23,m_6D02,pyr,-1
facilitation,acgam,E3R18,23,E3R18,ser__D,-1
facilitation,acgam,E3R18,23,m_6D02,ser__D,1
facilitation,acgam,E3R18,23,E3R18,thr__L,-1
facilitation,acgam,E3R18,23,G3M19,thr__L,-1
facilitation,acgam,E3R18,23,m_6D02,thr__L,1
facilitation,acgam,E3R18,23,E3R18,val__L,-1
facilitation,acgam,E3R18,23,G3M19,val__L,-1
facilitation,acgam,E3R18,23,m_6D02,val__L,1
facilitation,acgam,E3R18,24,C1M14,ac,-1
facilitation,acgam,E3R18,24,E3R18,ac,-1
facilitation,acgam,E3R18,24,G3M19,ac,1
facilitation,acgam,E3R18,24,C1M14,acald,-1
facilitation,acgam,E3R18,24,E3R18,acald,1
facilitation,acgam,E3R18,24,G3M19,acald,-1
facilitation,acgam,E3R18,24,C1M14,acgam,-1
facilitation,acgam,E3R18,24,G3M19,acgam,-1
facilitation,acgam,E3R18,24,C1M14,ade,-1
facilitation,acgam,E3R18,24,G3M19,ade,1
facilitation,acgam,E3R18,24,C1M14,ala__D,1
facilitation,acgam,E3R18,24,E3R18,ala__D,-1
facilitation,acgam,E3R18,24,C1M14,ala__L,-1
facilitation,acgam,E3R18,24,E3R18,ala__L,1
facilitation,acgam,E3R18,24,G3M19,ala__L,-1
facilitation,acgam,E3R18,24,C1M14,arg__L,-1
facilitation,acgam,E3R18,24,E3R18,arg__L,-1
facilitation,acgam,E3R18,24,G3M19,arg__L,1
facilitation,acgam,E3R18,24,C1M14,asp__L,1
facilitation,acgam,E3R18,24,E3R18,asp__L,-1
facilitation,acgam,E3R18,24,C1M14,co2,1
facilitation,acgam,E3R18,24,E3R18,co2,1
facilitation,acgam,E3R18,24,G3M19,co2,1
facilitation,acgam,E3R18,24,C1M14,etoh,-1
facilitation,acgam,E3R18,24,E3R18,etoh,-1
facilitation,acgam,E3R18,24,G3M19,etoh,1
facilitation,acgam,E3R18,24,C1M14,glu__L,1
facilitation,acgam,E3R18,24,E3R18,glu__L,-1
facilitation,acgam,E3R18,24,C1M14,gly,-1
facilitation,acgam,E3R18,24,E3R18,gly,1
facilitation,acgam,E3R18,24,C1M14,h2s,-1
facilitation,acgam,E3R18,24,E3R18,h2s,-1
facilitation,acgam,E3R18,24,G3M19,h2s,1
facilitation,acgam,E3R18,24,C1M14,pro__L,1
facilitation,acgam,E3R18,24,E3R18,pro__L,-1
facilitation,acgam,E3R18,24,C1M14,pyr,-1
facilitation,acgam,E3R18,24,E3R18,pyr,1
facilitation,acgam,E3R18,24,G3M19,pyr,1
facilitation,acgam,E3R18,25,A3R12,5dglcn,-1
facilitation,acgam,E3R18,25,E3R18,5dglcn,1
facilitation,acgam,E3R18,25,A3R12,ac,1
facilitation,acgam,E3R18,25,E3R18,ac,-1
facilitation,acgam,E3R18,25,G3M19,ac,1
facilitation,acgam,E3R18,25,A3R12,acald,1
facilitation,acgam,E3R18,25,E3R18,acald,1
facilitation,acgam,E3R18,25,G3M19,acald,-1
facilitation,acgam,E3R18,25,A3R12,acgam,-1
facilitation,acgam,E3R18,25,G3M19,acgam,-1
facilitation,acgam,E3R18,25,A3R12,ala__D,-1
facilitation,acgam,E3R18,25,E3R18,ala__D,1
facilitation,acgam,E3R18,25,A3R12,ala__L,1
facilitation,acgam,E3R18,25,E3R18,ala__L,-1
facilitation,acgam,E3R18,25,E3R18,arg__L,-1
facilitation,acgam,E3R18,25,G3M19,arg__L,1
facilitation,acgam,E3R18,25,A3R12,asp__L,1
facilitation,acgam,E3R18,25,E3R18,asp__L,-1
facilitation,acgam,E3R18,25,G3M19,asp__L,-1
facilitation,acgam,E3R18,25,A3R12,co2,-1
facilitation,acgam,E3R18,25,E3R18,co2,1
facilitation,acgam,E3R18,25,G3M19,co2,1
facilitation,acgam,E3R18,25,A3R12,etoh,-1
facilitation,acgam,E3R18,25,E3R18,etoh,1
facilitation,acgam,E3R18,25,G3M19,etoh,1
facilitation,acgam,E3R18,25,A3R12,glcn,1
facilitation,acgam,E3R18,25,E3R18,glcn,-1
facilitation,acgam,E3R18,25,A3R12,glu__L,-1
facilitation,acgam,E3R18,25,E3R18,glu__L,1
facilitation,acgam,E3R18,25,G3M19,glu__L,-1
facilitation,acgam,E3R18,25,A3R12,gly,1
facilitation,acgam,E3R18,25,E3R18,gly,-1
facilitation,acgam,E3R18,25,A3R12,gthox,1
facilitation,acgam,E3R18,25,E3R18,gthox,-1
facilitation,acgam,E3R18,25,A3R12,gthrd,-1
facilitation,acgam,E3R18,25,E3R18,gthrd,1
