substrate,focal_strain,solution,species,metabolite,flux
ac,A1R12,1,A1R12,ac,1
ac,A1R12,1,I3M07,ac,-1
ac,A1R12,1,A1R12,acald,1
ac,A1R12,1,I3M07,acald,-1
ac,A1R12,1,A1R12,ala__D,-1
ac,A1R12,1,I3M07,ala__D,1
ac,A1R12,1,A1R12,ala__L,1
ac,A1R12,1,I3M07,ala__L,-1
ac,A1R12,1,A1R12,arg__L,-1
ac,A1R12,1,I3M07,arg__L,1
ac,A1R12,1,A1R12,asp__L,-1
ac,A1R12,1,I3M07,asp__L,1
ac,A1R12,1,A1R12,co2,1
ac,A1R12,1,I3M07,co2,1
ac,A1R12,1,A1R12,etoh,-1
ac,A1R12,1,I3M07,etoh,1
ac,A1R12,1,A1R12,glu__L,-1
ac,A1R12,1,I3M07,glu__L,1
ac,A1R12,1,A1R12,gly,-1
ac,A1R12,1,I3M07,gly,1
ac,A1R12,1,A1R12,gua,-1
ac,A1R12,1,I3M07,gua,1
ac,A1R12,1,A1R12,h2s,-1
ac,A1R12,1,I3M07,h2s,1
ac,A1R12,1,A1R12,ile__L,1
ac,A1R12,1,I3M07,ile__L,-1
ac,A1R12,1,A1R12,leu__L,-1
ac,A1R12,1,I3M07,leu__L,1
ac,A1R12,1,A1R12,lys__L,-1
ac,A1R12,1,I3M07,lys__L,1
ac,A1R12,1,A1R12,pyr,-1
ac,A1R12,1,I3M07,pyr,1
ac,A1R12,1,A1R12,ser__L,-1
ac,A1R12,1,I3M07,ser__L,1
ac,A1R12,1,A1R12,thr__L,-1
ac,A1R12,1,I3M07,thr__L,1
ac,A1R12,1,A1R12,ura,-1
ac,A1R12,1,I3M07,ura,1
ac,A1R12,1,A1R12,val__L,-1
ac,A1R12,1,I3M07,val__L,1
ac,A1R12,10,A1R12,ac,1
ac,A1R12,10,E3R09,ac,-1
ac,A1R12,10,A1R12,acald,1
ac,A1R12,10,E3R09,acald,-1
ac,A1R12,10,A1R12,ala__D,-1
ac,A1R12,10,E3R09,ala__D,1
ac,A1R12,10,A1R12,ala__L,1
ac,A1R12,10,E3R09,ala__L,-1
ac,A1R12,10,A1R12,asp__L,-1
ac,A1R12,10,E3R09,asp__L,1
ac,A1R12,10,A1R12,co2,1
ac,A1R12,10,E3R09,co2,1
ac,A1R12,10,A1R12,etoh,-1
ac,A1R12,10,E3R09,etoh,1
ac,A1R12,10,A1R12,glu__L,1
ac,A1R12,10,E3R09,glu__L,-1
ac,A1R12,10,A1R12,gly,-1
ac,A1R12,10,E3R09,gly,1
ac,A1R12,10,A1R12,gthox,-1
ac,A1R12,10,E3R09,gthox,1
ac,A1R12,10,A1R12,gthrd,1
ac,A1R12,10,E3R09,gthrd,-1
ac,A1R12,10,A1R12,h2o2,1
ac,A1R12,10,E3R09,h2o2,-1
ac,A1R12,10,A1R12,h2s,1
ac,A1R12,10,E3R09,h2s,-1
ac,A1R12,10,A1R12,ile__L,-1
ac,A1R12,10,E3R09,ile__L,1
ac,A1R12,10,A1R12,leu__L,-1
ac,A1R12,10,E3R09,leu__L,1
ac,A1R12,10,A1R12,pyr,-1
ac,A1R12,10,E3R09,pyr,1
ac,A1R12,10,A1R12,val__L,-1
ac,A1R12,10,E3R09,val__L,1
ac,A1R12,11,A1R12,ac,1
ac,A1R12,11,m_1A01,ac,-1
ac,A1R12,11,A1R12,acald,-1
ac,A1R12,11,m_1A01,acald,1
ac,A1R12,11,A1R12,ala__D,-1
ac,A1R12,11,m_1A01,ala__D,1
ac,A1R12,11,A1R12,ala__L,1
ac,A1R12,11,m_1A01,ala__L,-1
ac,A1R12,11,A1R12,arg__L,-1
ac,A1R12,11,m_1A01,arg__L,1
ac,A1R12,11,A1R12,asp__L,-1
ac,A1R12,11,m_1A01,asp__L,1
ac,A1R12,11,A1R12,co2,1
ac,A1R12,11,m_1A01,co2,-1
ac,A1R12,11,A1R12,etoh,1
ac,A1R12,11,m_1A01,etoh,-1
ac,A1R12,11,A1R12,glu__L,1
ac,A1R12,11,m_1A01,glu__L,-1
ac,A1R12,11,A1R12,gly,-1
ac,A1R12,11,m_1A01,gly,1
ac,A1R12,11,A1R12,h2s,-1
ac,A1R12,11,m_1A01,h2s,1
ac,A1R12,11,A1R12,ile__L,-1
ac,A1R12,11,m_1A01,ile__L,1
ac,A1R12,11,A1R12,leu__L,1
ac,A1R12,11,m_1A01,leu__L,-1
ac,A1R12,11,A1R12,lys__L,-1
ac,A1R12,11,m_1A01,lys__L,1
ac,A1R12,11,A1R12,pyr,1
ac,A1R12,11,m_1A01,pyr,-1
ac,A1R12,11,A1R12,ser__L,-1
ac,A1R12,11,m_1A01,ser__L,1
ac,A1R12,11,A1R12,thr__L,-1
ac,A1R12,11,m_1A01,thr__L,1
ac,A1R12,11,A1R12,ura,-1
ac,A1R12,11,m_1A01,ura,1
ac,A1R12,11,A1R12,val__L,-1
ac,A1R12,11,m_1A01,val__L,1
ac,A1R12,12,A1R12,ac,1
ac,A1R12,12,m_6D03,ac,-1
ac,A1R12,12,A1R12,acald,-1
ac,A1R12,12,m_6D03,acald,1
ac,A1R12,12,A1R12,ala__D,-1
ac,A1R12,12,m_6D03,ala__D,1
ac,A1R12,12,A1R12,ala__L,1
ac,A1R12,12,m_6D03,ala__L,-1
ac,A1R12,12,A1R12,arg__L,-1
ac,A1R12,12,m_6D03,arg__L,1
ac,A1R12,12,A1R12,asp__L,-1
ac,A1R12,12,m_6D03,asp__L,1
ac,A1R12,12,A1R12,co2,1
ac,A1R12,12,m_6D03,co2,-1
ac,A1R12,12,A1R12,etoh,1
ac,A1R12,12,m_6D03,etoh,-1
ac,A1R12,12,A1R12,glu__L,1
ac,A1R12,12,m_6D03,glu__L,-1
ac,A1R12,12,A1R12,gly,-1
ac,A1R12,12,m_6D03,gly,1
ac,A1R12,12,A1R12,h2s,-1
ac,A1R12,12,m_6D03,h2s,1
ac,A1R12,12,A1R12,ile__L,-1
ac,A1R12,12,m_6D03,ile__L,1
ac,A1R12,12,A1R12,lac__D,-1
ac,A1R12,12,m_6D03,lac__D,1
ac,A1R12,12,A1R12,leu__L,-1
ac,A1R12,12,m_6D03,leu__L,1
ac,A1R12,12,A1R12,lys__L,-1
ac,A1R12,12,m_6D03,lys__L,1
ac,A1R12,12,A1R12,pyr,1
ac,A1R12,12,m_6D03,pyr,-1
ac,A1R12,12,A1R12,ser__L,-1
ac,A1R12,12,m_6D03,ser__L,1
ac,A1R12,12,A1R12,thr__L,-1
ac,A1R12,12,m_6D03,thr__L,1
ac,A1R12,12,A1R12,ura,-1
ac,A1R12,12,m_6D03,ura,1
ac,A1R12,12,A1R12,val__L,1
ac,A1R12,12,m_6D03,val__L,-1
ac,A1R12,13,A1R12,ac,1
ac,A1R12,13,C2M11,ac,-1
ac,A1R12,13,A1R12,acald,1
ac,A1R12,13,C2M11,acald,-1
ac,A1R12,13,A1R12,ala__D,1
ac,A1R12,13,C2M11,ala__D,-1
ac,A1R12,13,A1R12,ala__L,-1
ac,A1R12,13,C2M11,ala__L,1
ac,A1R12,13,A1R12,arg__L,-1
ac,A1R12,13,C2M11,arg__L,1
ac,A1R12,13,A1R12,asp__L,-1
ac,A1R12,13,C2M11,asp__L,1
ac,A1R12,13,A1R12,co2,1
ac,A1R12,13,C2M11,co2,1
ac,A1R12,13,A1R12,etoh,-1
ac,A1R12,13,C2M11,etoh,1
ac,A1R12,13,A1R12,glu__L,-1
ac,A1R12,13,C2M11,glu__L,1
ac,A1R12,13,A1R12,gly,-1
ac,A1R12,13,C2M11,gly,1
ac,A1R12,13,A1R12,gthox,-1
ac,A1R12,13,C2M11,gthox,1
ac,A1R12,13,A1R12,gthrd,1
ac,A1R12,13,C2M11,gthrd,-1
ac,A1R12,13,A1R12,h2o2,1
ac,A1R12,13,C2M11,h2o2,-1
ac,A1R12,13,A1R12,h2s,1
ac,A1R12,13,C2M11,h2s,-1
ac,A1R12,13,A1R12,lys__L,-1
ac,A1R12,13,C2M11,lys__L,1
ac,A1R12,13,A1R12,pyr,-1
ac,A1R12,13,C2M11,pyr,1
ac,A1R12,13,A1R12,thr__L,-1
ac,A1R12,13,C2M11,thr__L,1
ac,A1R12,13,A1R12,val__L,1
ac,A1R12,13,C2M11,val__L,-1
ac,A1R12,14,A1R12,ac,1
ac,A1R12,14,E3R11,ac,-1
ac,A1R12,14,A1R12,acald,1
ac,A1R12,14,E3R11,acald,-1
ac,A1R12,14,A1R12,ala__D,1
ac,A1R12,14,E3R11,ala__D,-1
ac,A1R12,14,A1R12,ala__L,-1
ac,A1R12,14,E3R11,ala__L,1
ac,A1R12,14,A1R12,asp__L,-1
ac,A1R12,14,E3R11,asp__L,1
ac,A1R12,14,A1R12,co2,1
ac,A1R12,14,E3R11,co2,1
ac,A1R12,14,A1R12,etoh,-1
ac,A1R12,14,E3R11,etoh,1
ac,A1R12,14,A1R12,glu__L,1
ac,A1R12,14,E3R11,glu__L,-1
ac,A1R12,14,A1R12,gly,-1
ac,A1R12,14,E3R11,gly,1
ac,A1R12,14,A1R12,h2s,1
ac,A1R12,14,E3R11,h2s,-1
ac,A1R12,14,A1R12,ile__L,-1
ac,A1R12,14,E3R11,ile__L,1
ac,A1R12,14,A1R12,leu__L,1
ac,A1R12,14,E3R11,leu__L,-1
ac,A1R12,14,A1R12,pyr,-1
ac,A1R12,14,E3R11,pyr,1
ac,A1R12,14,A1R12,ser__L,-1
ac,A1R12,14,E3R11,ser__L,1
ac,A1R12,14,A1R12,thr__L,-1
ac,A1R12,14,E3R11,thr__L,1
ac,A1R12,14,A1R12,val__L,-1
ac,A1R12,14,E3R11,val__L,1
ac,A1R12,15,A1R12,4abut,-1
ac,A1R12,15,m_3D05,4abut,1
ac,A1R12,15,A1R12,ac,1
ac,A1R12,15,m_3D05,ac,-1
ac,A1R12,15,A1R12,acald,-1
ac,A1R12,15,m_3D05,acald,1
ac,A1R12,15,A1R12,ala__D,1
ac,A1R12,15,m_3D05,ala__D,-1
ac,A1R12,15,A1R12,ala__L,-1
ac,A1R12,15,m_3D05,ala__L,1
ac,A1R12,15,A1R12,asp__L,-1
ac,A1R12,15,m_3D05,asp__L,1
ac,A1R12,15,A1R12,co2,1
ac,A1R12,15,m_3D05,co2,1
ac,A1R12,15,A1R12,etoh,1
ac,A1R12,15,m_3D05,etoh,-1
ac,A1R12,15,A1R12,glu__L,1
ac,A1R12,15,m_3D05,glu__L,-1
ac,A1R12,15,A1R12,gly,-1
ac,A1R12,15,m_3D05,gly,1
ac,A1R12,15,A1R12,gthox,1
ac,A1R12,15,m_3D05,gthox,-1
ac,A1R12,15,A1R12,gthrd,-1
ac,A1R12,15,m_3D05,gthrd,1
ac,A1R12,15,A1R12,h2o2,-1
ac,A1R12,15,m_3D05,h2o2,1
ac,A1R12,15,A1R12,h2s,1
ac,A1R12,15,m_3D05,h2s,-1
ac,A1R12,15,A1R12,ile__L,-1
ac,A1R12,15,m_3D05,ile__L,1
ac,A1R12,15,A1R12,leu__L,1
ac,A1R12,15,m_3D05,leu__L,-1
ac,A1R12,15,A1R12,pyr,-1
ac,A1R12,15,m_3D05,pyr,1
ac,A1R12,15,A1R12,ser__L,-1
ac,A1R12,15,m_3D05,ser__L,1
ac,A1R12,15,A1R12,thr__L,-1
ac,A1R12,15,m_3D05,thr__L,1
ac,A1R12,15,A1R12,val__L,1
ac,A1R12,15,m_3D05,val__L,-1
ac,A1R12,16,A1R12,LalaDgluMdapDala,1
ac,A1R12,16,D2M19,LalaDgluMdapDala,-1
ac,A1R12,16,A1R12,ac,1
ac,A1R12,16,D2M19,ac,-1
ac,A1R12,16,A1R12,acald,1
ac,A1R12,16,D2M19,acald,-1
ac,A1R12,16,A1R12,ala__L,1
ac,A1R12,16,D2M19,ala__L,-1
ac,A1R12,16,A1R12,anhgm,1
ac,A1R12,16,D2M19,anhgm,-1
ac,A1R12,16,A1R12,arg__L,-1
ac,A1R12,16,D2M19,arg__L,1
ac,A1R12,16,A1R12,asp__L,-1
ac,A1R12,16,D2M19,asp__L,1
ac,A1R12,16,A1R12,cgly,-1
ac,A1R12,16,D2M19,cgly,1
ac,A1R12,16,A1R12,co2,1
ac,A1R12,16,D2M19,co2,1
ac,A1R12,16,A1R12,etoh,-1
ac,A1R12,16,D2M19,etoh,1
ac,A1R12,16,A1R12,glu__L,1
ac,A1R12,16,D2M19,glu__L,-1
ac,A1R12,16,A1R12,gthox,-1
ac,A1R12,16,D2M19,gthox,1
ac,A1R12,16,A1R12,gthrd,1
ac,A1R12,16,D2M19,gthrd,-1
ac,A1R12,16,A1R12,h2o2,1
ac,A1R12,16,D2M19,h2o2,-1
ac,A1R12,16,A1R12,h2s,1
ac,A1R12,16,D2M19,h2s,-1
ac,A1R12,16,A1R12,ile__L,-1
ac,A1R12,16,D2M19,ile__L,1
ac,A1R12,16,A1R12,lac__D,-1
ac,A1R12,16,D2M19,lac__D,1
ac,A1R12,16,A1R12,leu__L,1
ac,A1R12,16,D2M19,leu__L,-1
ac,A1R12,16,A1R12,pyr,-1
ac,A1R12,16,D2M19,pyr,1
ac,A1R12,16,A1R12,rib__D,1
ac,A1R12,16,D2M19,rib__D,-1
ac,A1R12,16,A1R12,thr__L,-1
ac,A1R12,16,D2M19,thr__L,1
ac,A1R12,16,A1R12,val__L,-1
ac,A1R12,16,D2M19,val__L,1
ac,A1R12,17,A1R12,ac,1
ac,A1R12,17,m_4B03,ac,-1
ac,A1R12,17,A1R12,acald,1
ac,A1R12,17,m_4B03,acald,-1
ac,A1R12,17,A1R12,ala__D,-1
ac,A1R12,17,m_4B03,ala__D,1
ac,A1R12,17,A1R12,ala__L,1
ac,A1R12,17,m_4B03,ala__L,-1
ac,A1R12,17,A1R12,asp__L,-1
ac,A1R12,17,m_4B03,asp__L,1
ac,A1R12,17,A1R12,co2,1
ac,A1R12,17,m_4B03,co2,-1
ac,A1R12,17,A1R12,etoh,-1
ac,A1R12,17,m_4B03,etoh,1
ac,A1R12,17,A1R12,glu__L,1
ac,A1R12,17,m_4B03,glu__L,-1
ac,A1R12,17,A1R12,gly,-1
ac,A1R12,17,m_4B03,gly,1
ac,A1R12,17,A1R12,gthox,-1
ac,A1R12,17,m_4B03,gthox,1
ac,A1R12,17,A1R12,gthrd,1
ac,A1R12,17,m_4B03,gthrd,-1
ac,A1R12,17,A1R12,h2o2,1
ac,A1R12,17,m_4B03,h2o2,-1
ac,A1R12,17,A1R12,h2s,-1
ac,A1R12,17,m_4B03,h2s,1
ac,A1R12,17,A1R12,lys__L,-1
ac,A1R12,17,m_4B03,lys__L,1
ac,A1R12,17,A1R12,pyr,-1
ac,A1R12,17,m_4B03,pyr,1
ac,A1R12,17,A1R12,val__L,1
ac,A1R12,17,m_4B03,val__L,-1
ac,A1R12,18,A1R12,4abut,-1
ac,A1R12,18,m_6C06,4abut,1
ac,A1R12,18,A1R12,ac,1
ac,A1R12,18,m_6C06,ac,-1
ac,A1R12,18,A1R12,acald,1
ac,A1R12,18,m_6C06,acald,-1
ac,A1R12,18,A1R12,ala__D,-1
ac,A1R12,18,m_6C06,ala__D,1
ac,A1R12,18,A1R12,ala__L,1
ac,A1R12,18,m_6C06,ala__L,-1
ac,A1R12,18,A1R12,co2,1
ac,A1R12,18,m_6C06,co2,1
ac,A1R12,18,A1R12,etoh,-1
ac,A1R12,18,m_6C06,etoh,1
ac,A1R12,18,A1R12,glu__L,-1
ac,A1R12,18,m_6C06,glu__L,1
ac,A1R12,18,A1R12,gly,-1
ac,A1R12,18,m_6C06,gly,1
ac,A1R12,18,A1R12,h2s,1
ac,A1R12,18,m_6C06,h2s,-1
ac,A1R12,18,A1R12,ile__L,-1
ac,A1R12,18,m_6C06,ile__L,1
ac,A1R12,18,A1R12,leu__L,-1
ac,A1R12,18,m_6C06,leu__L,1
ac,A1R12,18,A1R12,pyr,-1
ac,A1R12,18,m_6C06,pyr,1
ac,A1R12,18,A1R12,thr__L,-1
ac,A1R12,18,m_6C06,thr__L,1
ac,A1R12,18,A1R12,val__L,-1
ac,A1R12,18,m_6C06,val__L,1
ac,A1R12,19,A1R12,ac,1
ac,A1R12,19,D3R19,ac,-1
ac,A1R12,19,A1R12,acald,1
ac,A1R12,19,D3R19,acald,-1
ac,A1R12,19,A1R12,ala__D,1
ac,A1R12,19,D3R19,ala__D,-1
ac,A1R12,19,A1R12,ala__L,-1
ac,A1R12,19,D3R19,ala__L,1
ac,A1R12,19,A1R12,asp__L,-1
ac,A1R12,19,D3R19,asp__L,1
ac,A1R12,19,A1R12,co2,1
ac,A1R12,19,D3R19,co2,1
ac,A1R12,19,D3R19,etha,1
ac,A1R12,19,A1R12,etoh,-1
ac,A1R12,19,D3R19,etoh,1
ac,A1R12,19,A1R12,g3pe,1
ac,A1R12,19,D3R19,g3pe,-1
ac,A1R12,19,A1R12,glu__L,-1
ac,A1R12,19,D3R19,glu__L,1
ac,A1R12,19,A1R12,gly,-1
ac,A1R12,19,D3R19,gly,1
ac,A1R12,19,A1R12,gthox,1
ac,A1R12,19,D3R19,gthox,-1
ac,A1R12,19,A1R12,gthrd,-1
ac,A1R12,19,D3R19,gthrd,1
ac,A1R12,19,A1R12,h2o2,-1
ac,A1R12,19,D3R19,h2o2,1
ac,A1R12,19,A1R12,h2s,-1
ac,A1R12,19,D3R19,h2s,1
ac,A1R12,19,A1R12,pyr,-1
ac,A1R12,19,D3R19,pyr,1
ac,A1R12,19,A1R12,val__L,-1
ac,A1R12,19,D3R19,val__L,1
ac,A1R12,2,A1R12,ac,1
ac,A1R12,2,I2R16,ac,-1
ac,A1R12,2,A1R12,acald,-1
ac,A1R12,2,I2R16,acald,1
ac,A1R12,2,A1R12,ala__D,1
ac,A1R12,2,I2R16,ala__D,-1
ac,A1R12,2,A1R12,ala__L,-1
ac,A1R12,2,I2R16,ala__L,1
ac,A1R12,2,A1R12,asp__L,-1
ac,A1R12,2,I2R16,asp__L,1
ac,A1R12,2,A1R12,co2,1
ac,A1R12,2,I2R16,co2,1
ac,A1R12,2,A1R12,etoh,1
ac,A1R12,2,I2R16,etoh,-1
ac,A1R12,2,A1R12,glu__L,-1
ac,A1R12,2,I2R16,glu__L,1
ac,A1R12,2,A1R12,gly,-1
ac,A1R12,2,I2R16,gly,1
ac,A1R12,2,A1R12,gthox,1
ac,A1R12,2,I2R16,gthox,-1
ac,A1R12,2,A1R12,gthrd,-1
ac,A1R12,2,I2R16,gthrd,1
ac,A1R12,2,A1R12,h2o2,-1
ac,A1R12,2,I2R16,h2o2,1
ac,A1R12,2,A1R12,h2s,-1
ac,A1R12,2,I2R16,h2s,1
ac,A1R12,2,A1R12,pyr,-1
ac,A1R12,2,I2R16,pyr,1
ac,A1R12,20,A1R12,ac,1
ac,A1R12,20,A3R04,ac,-1
ac,A1R12,20,A1R12,acald,-1
ac,A1R12,20,A3R04,acald,1
ac,A1R12,20,A1R12,ala__D,-1
ac,A1R12,20,A3R04,ala__D,1
ac,A1R12,20,A1R12,ala__L,1
ac,A1R12,20,A3R04,ala__L,-1
ac,A1R12,20,A1R12,asp__L,-1
ac,A1R12,20,A3R04,asp__L,1
ac,A1R12,20,A1R12,co2,1
ac,A1R12,20,A3R04,co2,1
ac,A1R12,20,A1R12,etoh,1
ac,A1R12,20,A3R04,etoh,-1
ac,A1R12,20,A1R12,glu__L,-1
ac,A1R12,20,A3R04,glu__L,1
ac,A1R12,20,A1R12,gly,-1
ac,A1R12,20,A3R04,gly,1
ac,A1R12,20,A1R12,gua,-1
ac,A1R12,20,A3R04,gua,1
ac,A1R12,20,A1R12,h2s,-1
ac,A1R12,20,A3R04,h2s,1
ac,A1R12,20,A1R12,pyr,-1
ac,A1R12,20,A3R04,pyr,1
ac,A1R12,20,A1R12,ura,-1
ac,A1R12,20,A3R04,ura,1
ac,A1R12,21,A1R12,ac,1
ac,A1R12,21,B3R10,ac,-1
ac,A1R12,21,A1R12,acald,-1
ac,A1R12,21,B3R10,acald,1
ac,A1R12,21,A1R12,ala__D,-1
ac,A1R12,21,B3R10,ala__D,1
ac,A1R12,21,A1R12,ala__L,1
ac,A1R12,21,B3R10,ala__L,-1
ac,A1R12,21,A1R12,asp__L,-1
ac,A1R12,21,B3R10,asp__L,1
ac,A1R12,21,A1R12,co2,1
ac,A1R12,21,B3R10,co2,1
ac,A1R12,21,A1R12,etoh,1
ac,A1R12,21,B3R10,etoh,-1
ac,A1R12,21,A1R12,glu__L,1
ac,A1R12,21,B3R10,glu__L,-1
ac,A1R12,21,A1R12,gly,-1
ac,A1R12,21,B3R10,gly,1
ac,A1R12,21,A1R12,gthox,1
ac,A1R12,21,B3R10,gthox,-1
ac,A1R12,21,A1R12,gthrd,-1
ac,A1R12,21,B3R10,gthrd,1
ac,A1R12,21,A1R12,h2o2,-1
ac,A1R12,21,B3R10,h2o2,1
ac,A1R12,21,A1R12,h2s,-1
ac,A1R12,21,B3R10,h2s,1
ac,A1R12,21,A1R12,pyr,1
ac,A1R12,21,B3R10,pyr,-1
ac,A1R12,21,A1R12,thr__L,-1
ac,A1R12,21,B3R10,thr__L,1
ac,A1R12,22,A1R12,ac,1
ac,A1R12,22,A3R12,ac,-1
ac,A1R12,22,A1R12,acald,1
ac,A1R12,22,A3R12,acald,-1
ac,A1R12,22,A1R12,ala__D,1
ac,A1R12,22,A3R12,ala__D,-1
ac,A1R12,22,A1R12,ala__L,-1
ac,A1R12,22,A3R12,ala__L,1
ac,A1R12,22,A1R12,asp__L,-1
ac,A1R12,22,A3R12,asp__L,1
ac,A1R12,22,A1R12,co2,1
ac,A1R12,22,A3R12,co2,-1
ac,A1R12,22,A1R12,etoh,-1
ac,A1R12,22,A3R12,etoh,1
ac,A1R12,22,A1R12,glu__L,-1
ac,A1R12,22,A3R12,glu__L,1
ac,A1R12,22,A1R12,gly,-1
ac,A1R12,22,A3R12,gly,1
ac,A1R12,22,A1R12,gthox,-1
ac,A1R12,22,A3R12,gthox,1
ac,A1R12,22,A1R12,gthrd,1
ac,A1R12,22,A3R12,gthrd,-1
ac,A1R12,22,A3R12,h2co3,1
ac,A1R12,22,A1R12,h2o2,1
ac,A1R12,22,A3R12,h2o2,-1
ac,A1R12,22,A1R12,h2s,-1
ac,A1R12,22,A3R12,h2s,1
ac,A1R12,22,A1R12,lys__L,-1
ac,A1R12,22,A3R12,lys__L,1
ac,A1R12,22,A1R12,pyr,-1
ac,A1R12,22,A3R12,pyr,1
ac,A1R12,22,A1R12,val__L,1
ac,A1R12,22,A3R12,val__L,-1
ac,A1R12,23,A1R12,ac,1
ac,A1R12,23,D2R05,ac,-1
ac,A1R12,23,A1R12,acald,1
ac,A1R12,23,D2R05,acald,-1
ac,A1R12,23,A1R12,ala__D,1
ac,A1R12,23,D2R05,ala__D,-1
ac,A1R12,23,A1R12,ala__L,-1
ac,A1R12,23,D2R05,ala__L,1
ac,A1R12,23,A1R12,asp__L,-1
ac,A1R12,23,D2R05,asp__L,1
ac,A1R12,23,A1R12,co2,1
ac,A1R12,23,D2R05,co2,1
ac,A1R12,23,A1R12,etoh,-1
ac,A1R12,23,D2R05,etoh,1
ac,A1R12,23,A1R12,glu__L,-1
ac,A1R12,23,D2R05,glu__L,1
ac,A1R12,23,A1R12,gly,-1
ac,A1R12,23,D2R05,gly,1
ac,A1R12,23,A1R12,gthox,-1
ac,A1R12,23,D2R05,gthox,1
ac,A1R12,23,A1R12,gthrd,1
ac,A1R12,23,D2R05,gthrd,-1
ac,A1R12,23,A1R12,h2o2,1
ac,A1R12,23,D2R05,h2o2,-1
ac,A1R12,23,A1R12,h2s,1
ac,A1R12,23,D2R05,h2s,-1
ac,A1R12,23,A1R12,pyr,-1
ac,A1R12,23,D2R05,pyr,1
ac,A1R12,23,A1R12,thr__L,-1
ac,A1R12,23,D2R05,thr__L,1
ac,A1R12,24,A1R12,ac,1
ac,A1R12,24,B3M02,ac,1
ac,A1R12,24,m_6D02,ac,-1
ac,A1R12,24,A1R12,acald,-1
ac,A1R12,24,m_6D02,acald,1
ac,A1R12,24,B3M02,ade,1
ac,A1R12,24,m_6D02,ade,-1
ac,A1R12,24,A1R12,ala__D,-1
ac,A1R12,24,m_6D02,ala__D,1
ac,A1R12,24,A1R12,ala__L,1
ac,A1R12,24,B3M02,ala__L,-1
ac,A1R12,24,m_6D02,ala__L,-1
ac,A1R12,24,B3M02,arg__L,1
ac,A1R12,24,m_6D02,arg__L,-1
ac,A1R12,24,A1R12,asp__L,-1
ac,A1R12,24,B3M02,asp__L,-1
ac,A1R12,24,m_6D02,asp__L,1
ac,A1R12,24,A1R12,co2,1
ac,A1R12,24,B3M02,co2,1
ac,A1R12,24,m_6D02,co2,-1
ac,A1R12,24,A1R12,etoh,1
ac,A1R12,24,B3M02,etoh,1
ac,A1R12,24,m_6D02,etoh,-1
ac,A1R12,24,A1R12,glu__L,1
ac,A1R12,24,B3M02,glu__L,1
ac,A1R12,24,m_6D02,glu__L,-1
ac,A1R12,24,A1R12,gly,-1
ac,A1R12,24,B3M02,gly,1
ac,A1R12,24,m_6D02,gly,-1
ac,A1R12,24,A1R12,gthox,1
ac,A1R12,24,m_6D02,gthox,-1
ac,A1R12,24,A1R12,gthrd,-1
ac,A1R12,24,m_6D02,gthrd,1
ac,A1R12,24,A1R12,h2o2,-1
ac,A1R12,24,m_6D02,h2o2,1
ac,A1R12,24,A1R12,h2s,1
ac,A1R12,24,B3M02,h2s,-1
ac,A1R12,24,m_6D02,h2s,-1
ac,A1R12,24,A1R12,ile__L,1
ac,A1R12,24,B3M02,ile__L,-1
ac,A1R12,24,A1R12,leu__L,1
ac,A1R12,24,B3M02,leu__L,-1
ac,A1R12,24,A1R12,lys__L,-1
ac,A1R12,24,B3M02,lys__L,1
ac,A1R12,24,m_6D02,lys__L,-1
ac,A1R12,24,B3M02,pro__L,1
ac,A1R12,24,m_6D02,pro__L,-1
ac,A1R12,24,A1R12,pyr,1
ac,A1R12,24,B3M02,pyr,-1
ac,A1R12,24,m_6D02,pyr,1
ac,A1R12,24,B3M02,ser__D,1
ac,A1R12,24,m_6D02,ser__D,-1
ac,A1R12,24,A1R12,thr__L,-1
ac,A1R12,24,B3M02,thr__L,1
ac,A1R12,24,m_6D02,thr__L,-1
ac,A1R12,24,A1R12,val__L,-1
ac,A1R12,24,B3M02,val__L,-1
ac,A1R12,24,m_6D02,val__L,1
ac,A1R12,25,A1R12,ac,1
ac,A1R12,25,B3M02,ac,-1
ac,A1R12,25,F3R08,ac,1
ac,A1R12,25,A1R12,acald,1
ac,A1R12,25,B3M02,acald,1
ac,A1R12,25,F3R08,acald,-1
ac,A1R12,25,A1R12,ala__D,-1
ac,A1R12,25,B3M02,ala__D,1
ac,A1R12,25,A1R12,ala__L,1
ac,A1R12,25,B3M02,ala__L,-1
ac,A1R12,25,A1R12,asp__L,-1
ac,A1R12,25,B3M02,asp__L,-1
ac,A1R12,25,F3R08,asp__L,1
ac,A1R12,25,A1R12,co2,1
ac,A1R12,25,B3M02,co2,1
ac,A1R12,25,F3R08,co2,-1
ac,A1R12,25,A1R12,etoh,-1
ac,A1R12,25,B3M02,etoh,-1
ac,A1R12,25,F3R08,etoh,1
ac,A1R12,25,A1R12,glu__L,-1
ac,A1R12,25,B3M02,glu__L,-1
ac,A1R12,25,F3R08,glu__L,1
ac,A1R12,25,A1R12,gly,-1
ac,A1R12,25,B3M02,gly,1
ac,A1R12,25,F3R08,gly,-1
ac,A1R12,25,A1R12,gthox,-1
ac,A1R12,25,F3R08,gthox,1
ac,A1R12,25,A1R12,gthrd,1
ac,A1R12,25,F3R08,gthrd,-1
ac,A1R12,25,A1R12,h2o2,1
ac,A1R12,25,F3R08,h2o2,-1
ac,A1R12,25,A1R12,h2s,1
ac,A1R12,25,B3M02,h2s,-1
ac,A1R12,25,F3R08,h2s,-1
